name,National №,Type,Species,Height,Weight,Abilities,Local №
Garchomp,445, Dragon Ground,Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs), Sand Veil Rough Skin, Rough Skin Rough Skin Rough Skin Rough Skin Rough Skin
Munchlax,446, Normal,Big Eater Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs), Pickup Thick Fat Gluttony, Gluttony Gluttony Gluttony Gluttony Gluttony Gluttony
Riolu,447, Fighting,Emanation Pokémon,0.7 m (2′04″),20.2 kg (44.5 lbs), Steadfast Inner Focus Prankster, Prankster Prankster Prankster Prankster Prankster Prankster Prankster
Lucario,448, Fighting Steel,Aura Pokémon,1.2 m (3′11″),54.0 kg (119.0 lbs), Steadfast Inner Focus Justified, Justified Justified Justified Justified Justified Justified Justified
Hippopotas,449, Ground,Hippo Pokémon,0.8 m (2′07″),49.5 kg (109.1 lbs), Sand Stream Sand Force, Sand Force Sand Force Sand Force Sand Force
Hippowdon,450, Ground,Heavyweight Pokémon,2.0 m (6′07″),300.0 kg (661.4 lbs), Sand Stream Sand Force, Sand Force Sand Force Sand Force Sand Force
Skorupi,451, Poison Bug,Scorpion Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs), Battle Armor Sniper Keen Eye, Keen Eye Keen Eye Keen Eye Keen Eye Keen Eye
Drapion,452, Poison Dark,Ogre Scorp Pokémon,1.3 m (4′03″),61.5 kg (135.6 lbs), Battle Armor Sniper Keen Eye, Keen Eye Keen Eye Keen Eye Keen Eye Keen Eye
Croagunk,453, Poison Fighting,Toxic Mouth Pokémon,0.7 m (2′04″),23.0 kg (50.7 lbs), Anticipation Dry Skin Poison Touch, Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch
Toxicroak,454, Poison Fighting,Toxic Mouth Pokémon,1.3 m (4′03″),44.4 kg (97.9 lbs), Anticipation Dry Skin Poison Touch, Poison Touch Poison Touch Poison Touch Poison Touch Poison Touch
Carnivine,455, Grass,Bug Catcher Pokémon,1.4 m (4′07″),27.0 kg (59.5 lbs), Levitate, Levitate Levitate Levitate Levitate
Finneon,456, Water,Wing Fish Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs), Swift Swim Storm Drain Water Veil, Water Veil Water Veil Water Veil Water Veil
Lumineon,457, Water,Neon Pokémon,1.2 m (3′11″),24.0 kg (52.9 lbs), Swift Swim Storm Drain Water Veil, Water Veil Water Veil Water Veil Water Veil
Mantyke,458, Water Flying,Kite Pokémon,1.0 m (3′03″),65.0 kg (143.3 lbs), Swift Swim Water Absorb Water Veil, Water Veil Water Veil Water Veil Water Veil Water Veil Water Veil
Snover,459, Grass Ice,Frost Tree Pokémon,1.0 m (3′03″),50.5 kg (111.3 lbs), Snow Warning Soundproof, Soundproof Soundproof Soundproof Soundproof
Abomasnow,460, Grass Ice,Frost Tree Pokémon,2.2 m (7′03″),135.5 kg (298.7 lbs), Snow Warning Soundproof, Soundproof Soundproof Soundproof Soundproof
Weavile,461, Dark Ice,Sharp Claw Pokémon,1.1 m (3′07″),34.0 kg (75.0 lbs), Pressure Pickpocket, Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket Pickpocket
Magnezone,462, Electric Steel,Magnet Area Pokémon,1.2 m (3′11″),180.0 kg (396.8 lbs), Magnet Pull Sturdy Analytic, Analytic Analytic Analytic Analytic Analytic Analytic
Lickilicky,463, Normal,Licking Pokémon,1.7 m (5′07″),140.0 kg (308.6 lbs), Own Tempo Oblivious Cloud Nine, Cloud Nine Cloud Nine Cloud Nine Cloud Nine Cloud Nine
Rhyperior,464, Ground Rock,Drill Pokémon,2.4 m (7′10″),282.8 kg (623.5 lbs), Lightning Rod Solid Rock Reckless, Reckless Reckless Reckless Reckless
Tangrowth,465, Grass,Vine Pokémon,2.0 m (6′07″),128.6 kg (283.5 lbs), Chlorophyll Leaf Guard Regenerator, Regenerator Regenerator Regenerator
Electivire,466, Electric,Thunderbolt Pokémon,1.8 m (5′11″),138.6 kg (305.6 lbs), Motor Drive Vital Spirit, Vital Spirit Vital Spirit Vital Spirit Vital Spirit
Magmortar,467, Fire,Blast Pokémon,1.6 m (5′03″),68.0 kg (149.9 lbs), Flame Body Vital Spirit, Vital Spirit Vital Spirit Vital Spirit Vital Spirit
Togekiss,468, Fairy Flying,Jubilee Pokémon,1.5 m (4′11″),38.0 kg (83.8 lbs), Hustle Serene Grace Super Luck, Super Luck Super Luck
Yanmega,469, Bug Flying,Ogre Darner Pokémon,1.9 m (6′03″),51.5 kg (113.5 lbs), Speed Boost Tinted Lens Frisk, Frisk Frisk Frisk Frisk
Leafeon,470, Grass,Verdant Pokémon,1.0 m (3′03″),25.5 kg (56.2 lbs), Leaf Guard Chlorophyll, Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll
Glaceon,471, Ice,Fresh Snow Pokémon,0.8 m (2′07″),25.9 kg (57.1 lbs), Snow Cloak Ice Body, Ice Body Ice Body Ice Body Ice Body Ice Body Ice Body
Gliscor,472, Ground Flying,Fang Scorp Pokémon,2.0 m (6′07″),42.5 kg (93.7 lbs), Hyper Cutter Sand Veil Poison Heal, Poison Heal Poison Heal Poison Heal
Mamoswine,473, Ice Ground,Twin Tusk Pokémon,2.5 m (8′02″),291.0 kg (641.5 lbs), Oblivious Snow Cloak Thick Fat, Thick Fat Thick Fat Thick Fat Thick Fat Thick Fat
Porygon-Z,474, Normal,Virtual Pokémon,0.9 m (2′11″),34.0 kg (75.0 lbs), Adaptability Download Analytic, Analytic Analytic Analytic
Gallade,475, Psychic Fighting,Blade Pokémon,1.6 m (5′03″),52.0 kg (114.6 lbs), Steadfast Justified, Justified Justified Justified Justified
Probopass,476, Rock Steel,Compass Pokémon,1.4 m (4′07″),340.0 kg (749.6 lbs), Sturdy Magnet Pull Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force
Dusknoir,477, Ghost,Gripper Pokémon,2.2 m (7′03″),106.6 kg (235.0 lbs), Pressure Frisk, Frisk Frisk Frisk
Froslass,478, Ice Ghost,Snow Land Pokémon,1.3 m (4′03″),26.6 kg (58.6 lbs), Snow Cloak Cursed Body, Cursed Body Cursed Body Cursed Body Cursed Body Cursed Body
Rotom,479, Electric Ghost,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs), Levitate, Levitate Levitate Levitate
Uxie,480, Psychic,Knowledge Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs), Levitate, Levitate Levitate
Mesprit,481, Psychic,Emotion Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs), Levitate, Levitate Levitate
Azelf,482, Psychic,Willpower Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs), Levitate, Levitate Levitate
Dialga,483, Steel Dragon,Temporal Pokémon,5.4 m (17′09″),683.0 kg (1505.8 lbs), Pressure Telepathy, Telepathy Telepathy
Palkia,484, Water Dragon,Spatial Pokémon,4.2 m (13′09″),336.0 kg (740.8 lbs), Pressure Telepathy, Telepathy Telepathy
Heatran,485, Fire Steel,Lava Dome Pokémon,1.7 m (5′07″),430.0 kg (948.0 lbs), Flash Fire Flame Body,
Regigigas,486, Normal,Colossal Pokémon,3.7 m (12′02″),420.0 kg (925.9 lbs), Slow Start,
Giratina,487, Ghost Dragon,Renegade Pokémon,4.5 m (14′09″),750.0 kg (1653.5 lbs), Pressure Telepathy, Telepathy
Cresselia,488, Psychic,Lunar Pokémon,1.5 m (4′11″),85.6 kg (188.7 lbs), Levitate,
Phione,489, Water,Sea Drifter Pokémon,0.4 m (1′04″),3.1 kg (6.8 lbs), Hydration,
Manaphy,490, Water,Seafaring Pokémon,0.3 m (1′00″),1.4 kg (3.1 lbs), Hydration, Hydration Hydration
Darkrai,491, Dark,Pitch-Black Pokémon,1.5 m (4′11″),50.5 kg (111.3 lbs), Bad Dreams,
Shaymin,492, Grass,Gratitude Pokémon,0.2 m (0′08″),2.1 kg (4.6 lbs), Natural Cure,
Arceus,493, Normal,Alpha Pokémon,3.2 m (10′06″),320.0 kg (705.5 lbs), Multitype,
Victini,494, Psychic Fire,Victory Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs), Victory Star, Victory Star Victory Star
Snivy,495, Grass,Grass Snake Pokémon,0.6 m (2′00″),8.1 kg (17.9 lbs), Overgrow Contrary, Contrary Contrary
Servine,496, Grass,Grass Snake Pokémon,0.8 m (2′07″),16.0 kg (35.3 lbs), Overgrow Contrary, Contrary Contrary
Serperior,497, Grass,Regal Pokémon,3.3 m (10′10″),63.0 kg (138.9 lbs), Overgrow Contrary, Contrary Contrary
Tepig,498, Fire,Fire Pig Pokémon,0.5 m (1′08″),9.9 kg (21.8 lbs), Blaze Thick Fat, Thick Fat Thick Fat
Pignite,499, Fire Fighting,Fire Pig Pokémon,1.0 m (3′03″),55.5 kg (122.4 lbs), Blaze Thick Fat, Thick Fat Thick Fat
Emboar,500, Fire Fighting,Mega Fire Pig Pokémon,1.6 m (5′03″),150.0 kg (330.7 lbs), Blaze Reckless, Reckless Reckless
Oshawott,501, Water,Sea Otter Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs), Torrent Shell Armor, Shell Armor Shell Armor
Dewott,502, Water,Discipline Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs), Torrent Shell Armor, Shell Armor Shell Armor
Samurott,503, Water,Formidable Pokémon,1.5 m (4′11″),94.6 kg (208.6 lbs), Torrent Shell Armor, Shell Armor Shell Armor
Patrat,504, Normal,Scout Pokémon,0.5 m (1′08″),11.6 kg (25.6 lbs), Run Away Keen Eye Analytic, Analytic Analytic Analytic
Watchog,505, Normal,Lookout Pokémon,1.1 m (3′07″),27.0 kg (59.5 lbs), Illuminate Keen Eye Analytic, Analytic Analytic Analytic
Lillipup,506, Normal,Puppy Pokémon,0.4 m (1′04″),4.1 kg (9.0 lbs), Vital Spirit Pickup Run Away, Run Away Run Away Run Away Run Away
Herdier,507, Normal,Loyal Dog Pokémon,0.9 m (2′11″),14.7 kg (32.4 lbs), Intimidate Sand Rush Scrappy, Scrappy Scrappy Scrappy Scrappy
Stoutland,508, Normal,Big-Hearted Pokémon,1.2 m (3′11″),61.0 kg (134.5 lbs), Intimidate Sand Rush Scrappy, Scrappy Scrappy Scrappy Scrappy
Purrloin,509, Dark,Devious Pokémon,0.4 m (1′04″),10.1 kg (22.3 lbs), Limber Unburden Prankster, Prankster Prankster Prankster Prankster
Liepard,510, Dark,Cruel Pokémon,1.1 m (3′07″),37.5 kg (82.7 lbs), Limber Unburden Prankster, Prankster Prankster Prankster Prankster
Pansage,511, Grass,Grass Monkey Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs), Gluttony Overgrow, Overgrow Overgrow Overgrow
Simisage,512, Grass,Thorn Monkey Pokémon,1.1 m (3′07″),30.5 kg (67.2 lbs), Gluttony Overgrow, Overgrow Overgrow Overgrow
Pansear,513, Fire,High Temp Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs), Gluttony Blaze, Blaze Blaze Blaze
Simisear,514, Fire,Ember Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs), Gluttony Blaze, Blaze Blaze Blaze
Panpour,515, Water,Spray Pokémon,0.6 m (2′00″),13.5 kg (29.8 lbs), Gluttony Torrent, Torrent Torrent Torrent
Simipour,516, Water,Geyser Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs), Gluttony Torrent, Torrent Torrent Torrent
Munna,517, Psychic,Dream Eater Pokémon,0.6 m (2′00″),23.3 kg (51.4 lbs), Forewarn Synchronize Telepathy, Telepathy Telepathy Telepathy
Musharna,518, Psychic,Drowsing Pokémon,1.1 m (3′07″),60.5 kg (133.4 lbs), Forewarn Synchronize Telepathy, Telepathy Telepathy Telepathy
Pidove,519, Normal Flying,Tiny Pigeon Pokémon,0.3 m (1′00″),2.1 kg (4.6 lbs), Big Pecks Super Luck Rivalry, Rivalry Rivalry Rivalry
Tranquill,520, Normal Flying,Wild Pigeon Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs), Big Pecks Super Luck Rivalry, Rivalry Rivalry Rivalry
Unfezant,521, Normal Flying,Proud Pokémon,1.2 m (3′11″),29.0 kg (63.9 lbs), Big Pecks Super Luck Rivalry, Rivalry Rivalry Rivalry
Blitzle,522, Electric,Electrified Pokémon,0.8 m (2′07″),29.8 kg (65.7 lbs), Lightning Rod Motor Drive Sap Sipper, Sap Sipper Sap Sipper
Zebstrika,523, Electric,Thunderbolt Pokémon,1.6 m (5′03″),79.5 kg (175.3 lbs), Lightning Rod Motor Drive Sap Sipper, Sap Sipper Sap Sipper
Roggenrola,524, Rock,Mantle Pokémon,0.4 m (1′04″),18.0 kg (39.7 lbs), Sturdy Weak Armor Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force
Boldore,525, Rock,Ore Pokémon,0.9 m (2′11″),102.0 kg (224.9 lbs), Sturdy Weak Armor Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force
Gigalith,526, Rock,Compressed Pokémon,1.7 m (5′07″),260.0 kg (573.2 lbs), Sturdy Sand Stream Sand Force, Sand Force Sand Force Sand Force Sand Force Sand Force Sand Force
Woobat,527, Psychic Flying,Bat Pokémon,0.4 m (1′04″),2.1 kg (4.6 lbs), Unaware Klutz Simple, Simple Simple Simple Simple
Swoobat,528, Psychic Flying,Courting Pokémon,0.9 m (2′11″),10.5 kg (23.1 lbs), Unaware Klutz Simple, Simple Simple Simple Simple
Drilbur,529, Ground,Mole Pokémon,0.3 m (1′00″),8.5 kg (18.7 lbs), Sand Rush Sand Force Mold Breaker, Mold Breaker Mold Breaker Mold Breaker
Excadrill,530, Ground Steel,Subterrene Pokémon,0.7 m (2′04″),40.4 kg (89.1 lbs), Sand Rush Sand Force Mold Breaker, Mold Breaker Mold Breaker Mold Breaker
Audino,531, Normal,Hearing Pokémon,1.1 m (3′07″),31.0 kg (68.3 lbs), Healer Regenerator Klutz, Klutz Klutz Klutz
Timburr,532, Fighting,Muscular Pokémon,0.6 m (2′00″),12.5 kg (27.6 lbs), Guts Sheer Force Iron Fist, Iron Fist Iron Fist Iron Fist Iron Fist
Gurdurr,533, Fighting,Muscular Pokémon,1.2 m (3′11″),40.0 kg (88.2 lbs), Guts Sheer Force Iron Fist, Iron Fist Iron Fist Iron Fist Iron Fist
Conkeldurr,534, Fighting,Muscular Pokémon,1.4 m (4′07″),87.0 kg (191.8 lbs), Guts Sheer Force Iron Fist, Iron Fist Iron Fist Iron Fist Iron Fist
Tympole,535, Water,Tadpole Pokémon,0.5 m (1′08″),4.5 kg (9.9 lbs), Swift Swim Hydration Water Absorb, Water Absorb Water Absorb Water Absorb
Palpitoad,536, Water Ground,Vibration Pokémon,0.8 m (2′07″),17.0 kg (37.5 lbs), Swift Swim Hydration Water Absorb, Water Absorb Water Absorb Water Absorb
Seismitoad,537, Water Ground,Vibration Pokémon,1.5 m (4′11″),62.0 kg (136.7 lbs), Swift Swim Poison Touch Water Absorb, Water Absorb Water Absorb Water Absorb
Throh,538, Fighting,Judo Pokémon,1.3 m (4′03″),55.5 kg (122.4 lbs), Guts Inner Focus Mold Breaker, Mold Breaker Mold Breaker Mold Breaker Mold Breaker
Sawk,539, Fighting,Karate Pokémon,1.4 m (4′07″),51.0 kg (112.4 lbs), Sturdy Inner Focus Mold Breaker, Mold Breaker Mold Breaker Mold Breaker Mold Breaker
Sewaddle,540, Bug Grass,Sewing Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs), Swarm Chlorophyll Overcoat, Overcoat Overcoat
Swadloon,541, Bug Grass,Leaf-Wrapped Pokémon,0.5 m (1′08″),7.3 kg (16.1 lbs), Leaf Guard Chlorophyll Overcoat, Overcoat Overcoat
Leavanny,542, Bug Grass,Nurturing Pokémon,1.2 m (3′11″),20.5 kg (45.2 lbs), Swarm Chlorophyll Overcoat, Overcoat Overcoat
Venipede,543, Bug Poison,Centipede Pokémon,0.4 m (1′04″),5.3 kg (11.7 lbs), Poison Point Swarm Speed Boost, Speed Boost Speed Boost Speed Boost
Whirlipede,544, Bug Poison,Curlipede Pokémon,1.2 m (3′11″),58.5 kg (129.0 lbs), Poison Point Swarm Speed Boost, Speed Boost Speed Boost Speed Boost
Scolipede,545, Bug Poison,Megapede Pokémon,2.5 m (8′02″),200.5 kg (442.0 lbs), Poison Point Swarm Speed Boost, Speed Boost Speed Boost Speed Boost
Cottonee,546, Grass Fairy,Cotton Puff Pokémon,0.3 m (1′00″),0.6 kg (1.3 lbs), Prankster Infiltrator Chlorophyll, Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll
Whimsicott,547, Grass Fairy,Windveiled Pokémon,0.7 m (2′04″),6.6 kg (14.6 lbs), Prankster Infiltrator Chlorophyll, Chlorophyll Chlorophyll Chlorophyll Chlorophyll Chlorophyll
Petilil,548, Grass,Bulb Pokémon,0.5 m (1′08″),6.6 kg (14.6 lbs), Chlorophyll Own Tempo Leaf Guard, Leaf Guard Leaf Guard Leaf Guard Leaf Guard
Lilligant,549, Grass,Flowering Pokémon,1.1 m (3′07″),16.3 kg (35.9 lbs), Chlorophyll Own Tempo Leaf Guard, Leaf Guard Leaf Guard Leaf Guard Leaf Guard
Basculin,550, Water,Hostile Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs), Reckless Adaptability Mold Breaker, Mold Breaker Mold Breaker Mold Breaker Mold Breaker Mold Breaker
Sandile,551, Ground Dark,Desert Croc Pokémon,0.7 m (2′04″),15.2 kg (33.5 lbs), Intimidate Moxie Anger Point, Anger Point Anger Point Anger Point Anger Point Anger Point
Krokorok,552, Ground Dark,Desert Croc Pokémon,1.0 m (3′03″),33.4 kg (73.6 lbs), Intimidate Moxie Anger Point, Anger Point Anger Point Anger Point Anger Point Anger Point
Krookodile,553, Ground Dark,Intimidation Pokémon,1.5 m (4′11″),96.3 kg (212.3 lbs), Intimidate Moxie Anger Point, Anger Point Anger Point Anger Point Anger Point Anger Point
Darumaka,554, Fire,Zen Charm Pokémon,0.6 m (2′00″),37.5 kg (82.7 lbs), Hustle Inner Focus, Inner Focus Inner Focus Inner Focus
Darmanitan,555, Fire,Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs), Sheer Force Zen Mode, Zen Mode Zen Mode Zen Mode
Maractus,556, Grass,Cactus Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs), Water Absorb Chlorophyll Storm Drain, Storm Drain Storm Drain Storm Drain
Dwebble,557, Bug Rock,Rock Inn Pokémon,0.3 m (1′00″),14.5 kg (32.0 lbs), Sturdy Shell Armor Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor
Crustle,558, Bug Rock,Stone Home Pokémon,1.4 m (4′07″),200.0 kg (440.9 lbs), Sturdy Shell Armor Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor
Scraggy,559, Dark Fighting,Shedding Pokémon,0.6 m (2′00″),11.8 kg (26.0 lbs), Shed Skin Moxie Intimidate, Intimidate Intimidate Intimidate Intimidate Intimidate
Scrafty,560, Dark Fighting,Hoodlum Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs), Shed Skin Moxie Intimidate, Intimidate Intimidate Intimidate Intimidate Intimidate
Sigilyph,561, Psychic Flying,Avianoid Pokémon,1.4 m (4′07″),14.0 kg (30.9 lbs), Wonder Skin Magic Guard Tinted Lens, Tinted Lens Tinted Lens Tinted Lens Tinted Lens
Yamask,562, Ghost,Spirit Pokémon,0.5 m (1′08″),1.5 kg (3.3 lbs), Mummy, Mummy Mummy Mummy
Cofagrigus,563, Ghost,Coffin Pokémon,1.7 m (5′07″),76.5 kg (168.7 lbs), Mummy, Mummy Mummy Mummy
Tirtouga,564, Water Rock,Prototurtle Pokémon,0.7 m (2′04″),16.5 kg (36.4 lbs), Solid Rock Sturdy Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim
Carracosta,565, Water Rock,Prototurtle Pokémon,1.2 m (3′11″),81.0 kg (178.6 lbs), Solid Rock Sturdy Swift Swim, Swift Swim Swift Swim Swift Swim Swift Swim
Archen,566, Rock Flying,First Bird Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs), Defeatist, Defeatist Defeatist Defeatist Defeatist
Archeops,567, Rock Flying,First Bird Pokémon,1.4 m (4′07″),32.0 kg (70.5 lbs), Defeatist, Defeatist Defeatist Defeatist Defeatist
Trubbish,568, Poison,Trash Bag Pokémon,0.6 m (2′00″),31.0 kg (68.3 lbs), Stench Sticky Hold Aftermath, Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath
Garbodor,569, Poison,Trash Heap Pokémon,1.9 m (6′03″),107.3 kg (236.6 lbs), Stench Weak Armor Aftermath, Aftermath Aftermath Aftermath Aftermath Aftermath Aftermath
Zorua,570, Dark,Tricky Fox Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs), Illusion, Illusion Illusion Illusion Illusion
Zoroark,571, Dark,Illusion Fox Pokémon,1.6 m (5′03″),81.1 kg (178.8 lbs), Illusion, Illusion Illusion Illusion Illusion
Minccino,572, Normal,Chinchilla Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs), Cute Charm Technician Skill Link, Skill Link Skill Link Skill Link Skill Link
Cinccino,573, Normal,Scarf Pokémon,0.5 m (1′08″),7.5 kg (16.5 lbs), Cute Charm Technician Skill Link, Skill Link Skill Link Skill Link Skill Link
Gothita,574, Psychic,Fixation Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs), Frisk Competitive Shadow Tag, Shadow Tag Shadow Tag Shadow Tag Shadow Tag
Gothorita,575, Psychic,Manipulate Pokémon,0.7 m (2′04″),18.0 kg (39.7 lbs), Frisk Competitive Shadow Tag, Shadow Tag Shadow Tag Shadow Tag Shadow Tag
Gothitelle,576, Psychic,Astral Body Pokémon,1.5 m (4′11″),44.0 kg (97.0 lbs), Frisk Competitive Shadow Tag, Shadow Tag Shadow Tag Shadow Tag Shadow Tag
Solosis,577, Psychic,Cell Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs), Overcoat Magic Guard Regenerator, Regenerator Regenerator Regenerator Regenerator
Duosion,578, Psychic,Mitosis Pokémon,0.6 m (2′00″),8.0 kg (17.6 lbs), Overcoat Magic Guard Regenerator, Regenerator Regenerator Regenerator Regenerator
Reuniclus,579, Psychic,Multiplying Pokémon,1.0 m (3′03″),20.1 kg (44.3 lbs), Overcoat Magic Guard Regenerator, Regenerator Regenerator Regenerator Regenerator
Ducklett,580, Water Flying,Water Bird Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs), Keen Eye Big Pecks Hydration, Hydration Hydration Hydration
Swanna,581, Water Flying,White Bird Pokémon,1.3 m (4′03″),24.2 kg (53.4 lbs), Keen Eye Big Pecks Hydration, Hydration Hydration Hydration
Vanillite,582, Ice,Fresh Snow Pokémon,0.4 m (1′04″),5.7 kg (12.6 lbs), Ice Body Snow Cloak Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Vanillish,583, Ice,Icy Snow Pokémon,1.1 m (3′07″),41.0 kg (90.4 lbs), Ice Body Snow Cloak Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Vanilluxe,584, Ice,Snowstorm Pokémon,1.3 m (4′03″),57.5 kg (126.8 lbs), Ice Body Snow Warning Weak Armor, Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor Weak Armor
Deerling,585, Normal Grass,Season Pokémon,0.6 m (2′00″),19.5 kg (43.0 lbs), Chlorophyll Sap Sipper Serene Grace, Serene Grace Serene Grace
Sawsbuck,586, Normal Grass,Season Pokémon,1.9 m (6′03″),92.5 kg (203.9 lbs), Chlorophyll Sap Sipper Serene Grace, Serene Grace Serene Grace
Emolga,587, Electric Flying,Sky Squirrel Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs), Static Motor Drive, Motor Drive Motor Drive Motor Drive Motor Drive Motor Drive
Karrablast,588, Bug,Clamping Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs), Swarm Shed Skin No Guard, No Guard No Guard No Guard No Guard
Escavalier,589, Bug Steel,Cavalry Pokémon,1.0 m (3′03″),33.0 kg (72.8 lbs), Swarm Shell Armor Overcoat, Overcoat Overcoat Overcoat Overcoat
Foongus,590, Grass Poison,Mushroom Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs), Effect Spore Regenerator, Regenerator Regenerator Regenerator
Amoonguss,591, Grass Poison,Mushroom Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs), Effect Spore Regenerator, Regenerator Regenerator Regenerator
Frillish,592, Water Ghost,Floating Pokémon,1.2 m (3′11″),33.0 kg (72.8 lbs), Water Absorb Cursed Body Damp, Damp Damp Damp Damp
Jellicent,593, Water Ghost,Floating Pokémon,2.2 m (7′03″),135.0 kg (297.6 lbs), Water Absorb Cursed Body Damp, Damp Damp Damp Damp
Alomomola,594, Water,Caring Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs), Healer Hydration Regenerator, Regenerator Regenerator Regenerator Regenerator Regenerator
Joltik,595, Bug Electric,Attaching Pokémon,0.1 m (0′04″),0.6 kg (1.3 lbs), Compound Eyes Unnerve Swarm, Swarm Swarm Swarm
Galvantula,596, Bug Electric,EleSpider Pokémon,0.8 m (2′07″),14.3 kg (31.5 lbs), Compound Eyes Unnerve Swarm, Swarm Swarm Swarm
Ferroseed,597, Grass Steel,Thorn Seed Pokémon,0.6 m (2′00″),18.8 kg (41.4 lbs), Iron Barbs Anticipation, Anticipation Anticipation Anticipation Anticipation
Ferrothorn,598, Grass Steel,Thorn Pod Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs), Iron Barbs Anticipation, Anticipation Anticipation Anticipation Anticipation
Klink,599, Steel,Gear Pokémon,0.3 m (1′00″),21.0 kg (46.3 lbs), Plus Minus Clear Body, Clear Body Clear Body Clear Body
Klang,600, Steel,Gear Pokémon,0.6 m (2′00″),51.0 kg (112.4 lbs), Plus Minus Clear Body, Clear Body Clear Body Clear Body
Klinklang,601, Steel,Gear Pokémon,0.6 m (2′00″),81.0 kg (178.6 lbs), Plus Minus Clear Body, Clear Body Clear Body Clear Body
Tynamo,602, Electric,EleFish Pokémon,0.2 m (0′08″),0.3 kg (0.7 lbs), Levitate, Levitate Levitate
Eelektrik,603, Electric,EleFish Pokémon,1.2 m (3′11″),22.0 kg (48.5 lbs), Levitate, Levitate Levitate
Eelektross,604, Electric,EleFish Pokémon,2.1 m (6′11″),80.5 kg (177.5 lbs), Levitate, Levitate Levitate
Elgyem,605, Psychic,Cerebral Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs), Telepathy Synchronize Analytic, Analytic Analytic Analytic Analytic
Beheeyem,606, Psychic,Cerebral Pokémon,1.0 m (3′03″),34.5 kg (76.1 lbs), Telepathy Synchronize Analytic, Analytic Analytic Analytic Analytic
Litwick,607, Ghost Fire,Candle Pokémon,0.3 m (1′00″),3.1 kg (6.8 lbs), Flash Fire Flame Body Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator
Lampent,608, Ghost Fire,Lamp Pokémon,0.6 m (2′00″),13.0 kg (28.7 lbs), Flash Fire Flame Body Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator
Chandelure,609, Ghost Fire,Luring Pokémon,1.0 m (3′03″),34.3 kg (75.6 lbs), Flash Fire Flame Body Infiltrator, Infiltrator Infiltrator Infiltrator Infiltrator
Axew,610, Dragon,Tusk Pokémon,0.6 m (2′00″),18.0 kg (39.7 lbs), Rivalry Mold Breaker Unnerve, Unnerve Unnerve Unnerve Unnerve
